English Term,Japanese Translation
Add new item,新しいアイテムを追加
Delete,削除
Deleting,削除中
Deleted,削除済み
Save,保存
Saving,保存中
Saved,保存済み
Cancel,キャンセル
Cancelled,キャンセル済み
Canceled,キャンセル済み
Edit,編集
Editing,編集中
Edited,編集済み
Settings,設定
Publish,公開
Publishing,公開中
Published,公開済み
Unpublish,非公開
Unpublishing,非公開処理中
Unpublished,非公開
Duplicate,複製
Move,移動
Moving,移動中
Moved,移動済み
Search,検索
Searching,検索中
Filter,フィルター
Filtering,フィルター中
Loading,読み込み中
Loaded,読み込み完了
Copying,コピー中
Copied,コピー済み
Updating,更新中
Updated,更新済み
Creating,作成中
Created,作成済み
Sort,並べ替え
View,表示
Hide,非表示
Show,表示
Close,閉じる
Open,開く
Next,次へ
Previous,前へ
Back,戻る
Confirm,確認 
Style selector,スタイルセレクタ
Inheriting 1 selector,1つのセレクタを継承中
Inheriting,継承中
selector,セレクタ
Variable modes,変数モード
No element selected,要素が選択されていません
Make a selection,選択してください
Select an element on the canvas to activate this panel,キャンバス上の要素を選択するとこのパネルが有効になります
More size options,サイズの詳細オプション
Float and clear,回り込みとクリア
Position,配置
Layout,レイアウト
Spacing,余白
Style,スタイル
Interactions,インタラクション
on this page,このページ内
on other pages,他のページ
This Can Read and Change Site Data,この拡張機能はサイトデータの読み取りと変更ができます
Manage Extension,拡張機能を管理
View Web Permissions,Web権限を表示
Remove from Chrome,Chrome から削除
Options,オプション
Unpin,固定を解除
